,Facility Size (sq Ft),"Revenue (US Dollars, million)","Net Income (US Dollars, million)",Total Employees,"Total Assets (US Dollars, million)",Owns Rents_Owns,Importer,Exporter,Manufacturing,Women Owned,Minority Owned,RevPerEm,RevPerSq,SqPerEm
707,66000,17.498724,0,66,0,1,0,0,1,0,0,0.265132182,0.000265132,1000
708,92000,17.495981,0.028191,125,0,0,1,1,1,1,0,0.139967848,0.000190174,736
709,100000,17.485214,0,65,0,1,0,0,1,1,0,0.269003292,0.000174852,1538.461538
710,57105,17.37199,0,75,0,1,0,0,1,0,0,0.231626533,0.000304211,761.4
711,70000,17.326852,0,75,0,0,0,0,1,0,0,0.231024693,0.000247526,933.3333333
712,45300,17.219575,0,65,0,1,1,1,0,0,0,0.264916538,0.000380123,696.9230769
713,63000,13.974305,0,100,0,0,0,0,1,0,0,0.13974305,0.000221814,630
714,12000,13.77616,0,60,0,0,0,0,1,0,0,0.229602667,0.001148013,200
715,70000,13.765454,0,80,0,0,0,0,1,0,0,0.172068175,0.000196649,875
716,84000,13.752704,0,85,0,1,1,0,1,0,0,0.161796518,0.000163723,988.2352941
717,10146,13.624823,0,40,0,0,0,0,1,0,0,0.340620575,0.001342876,253.65
718,50000,13.599804,0,120,0,1,0,0,1,0,0,0.1133317,0.000271996,416.6666667
719,33000,9.551014,0,38,0,0,1,1,1,0,0,0.251342474,0.000289425,868.4210526
720,3600,9.530387,0,50,0,1,0,0,0,0,0,0.19060774,0.00264733,72
721,25000,9.5,0,45,0,1,1,1,1,0,0,0.211111111,0.00038,555.5555556
722,75000,9.491585,0,70,0,1,1,0,1,0,0,0.135594071,0.000126554,1071.428571
